16a60c0d-ac0f-454e-b1a8-e9076d023082;10453.42361501998;8045.7946139141295;0.0;0.0;293;9;Unsuitable Jelly;0;none;0;0;0;
47ffdb9c-f5f1-4d9f-949a-f27ca1368887;10947.66336620052;8199.260308849138;0.0;0.0;183;9;Unsuitable Jelly;1;none;0;0;0;
a61bcb06-be66-4cec-9e53-dea2c6d24094;10328.918805403793;7718.322622117123;0.0;0.0;354;9;Unsuitable Jelly;1;none;0;0;0;
c7162747-abec-4770-bb69-868fc9be6328;11147.099903459162;8308.68014115489;0.0;0.0;140;9;Unsuitable Jelly;3;none;0;0;0;
d2844175-51ec-4e7f-93a2-b535d524feb0;10370.056520694185;8355.691245410704;0.0;0.0;0;9;Unsuitable Jelly;1;none;0;0;0;
93351f3f-bb80-49d9-8f60-64c80c769d9a;10719.27075037015;7810.222912604162;0.0;0.0;183;0;Unsuitable Jelly;2;none;1;0;0;
3564bb83-d0a3-4ed9-8678-44ba35005e2a;9507.125629224121;7787.585551375017;0.0;0.0;305;8;Cynical Acot;3;none;0;0;0;
8e840609-269c-4257-b981-eb3924baaba3;9332.193010243429;7491.557462726425;0.0;0.0;330;8;Cynical Acot;0;none;0;0;0;
69d2affe-0198-41b6-9b7d-2b8c8f6b7854;9412.194889535554;7096.246069799049;0.0;0.0;60;8;Cynical Acot;1;none;0;0;0;
4579e18a-4c50-4ac7-b9bf-ab63d7e11e4e;8971.83624700301;7185.607441134398;0.0;0.0;315;8;Cynical Acot;2;none;0;0;0;
99bd37bc-29a0-449e-8805-c7f263ac4873;9186.299576619316;7143.368009513533;0.0;0.0;150;8;Cynical Acot;0;none;0;0;0;
7019f805-6810-48cf-be43-067739d9c900;9121.458853656379;7909.42759388563;0.0;0.0;60;0;Cynical Acot;3;none;1;0;0;
