b6753d6a-6867-411f-935a-d2b7bd9e382c;TELEPORT2;8;1;2;1;0;1000;2;1600;1;1;1;
7f5d78dd-85f7-4749-bfac-41671d561cf4;PILOTING2;6;7;2;1;0;10000;0;0;3;1;
940ceb94-1197-412d-9069-f5943b2c5426;BOU_REACTOR4;6;5;2;2;0;8000;0;0;58;0;1;
02fb3598-1ead-412e-8144-4a5a09f8918c;OXYGEN1;2;7;2;1;0;1000;1;0;3;1;1;
f9322bb2-2203-4548-a513-ff210dfbaf06;DOOR_CONTROL2;4;4;2;1;0;2000;0;0;4;1;1;
f42f7328-823c-4252-8aec-42f0e757cb5c;ENGINES3;7;4;2;1;0;1800;0;0;5;1;1;
c670afb3-25b9-4f4e-aeb1-def09a712df1;HYPERDRIVE1;2;5;2;2;0;1000;0;0;57;0;1;
1628da4e-45b4-4e84-8792-212bab95fecc;SHIELDS5;2;2;2;2;0;5000;10;0;57;0;1;
1c16b9ae-ac72-4bbd-82b5-6010cf49a95a;BOU_Pierce_laser1;6;2;2;2;0;1300;2;1520;58;1;204.0;4200.0;9336.0;0;
fd4518a4-c705-4c55-b56b-73a4a3cb7a87;WEAPONS_CONTROL1;6;1;2;1;0;2000;0;0;2;1;
22234d88-c2f7-4a64-8362-612a81985256;SENSORS1;4;5;2;1;0;1000;0;0;3;1;1;
548f6f20-5729-4fa8-8158-9b89fef4a87f;BOU_TELEPORT2;8;7;2;1;0;1000;2;1600;1;1;1;
